,safe
115085,A cyclist riding in the bicycle lane of a city street
116381,"That is a picture of an outside locale. 
"
36384,A box filled with lots of bottles of wine.
11511,Two men are smiling looking at a laptop computer.
149600,Pedestrian and car traffic on the corner of Santa Monica Blvd at night
137063,a black and white cat and a laptop
32959,A man riding on top of a surfboard in the ocean.
84803,"A bathroom with a sink, toilet, and stand alone tub."
32435,A chocolate cake sitting on a white plat that is sitting on a wooden table.
127110,A bus pulls up to a sidewalk and bus stop.
157562,a person sitting at a small table with a laptop
156706,A small crowd of people gathered around an elephant which is laying in a pond of water.
46858,An umbrella is stuck in the sand on the beach.
124227,A parade with police officers riding police motorcycles
102130,A Charlestown resident permit parking only sign on Badger Place
88231,A woman riding her bike with a little boy.
113896,A bicycle leans against a park bench with a flowering tree nearby.
1360,A woman on a tennis court with a racket in one hand and a ball in the other.
152775,A small passenger train traveling in a wooded area.
22498,a small bathroom with a sink and a mirror
69294,A banana plant with a large flower and unripe bananas.
114091,A bathroom with a shower and a sink.
74021,A couple of people that are in the water.
88927,Two women looking around a yellow dining room
107798,LARGE COLORFUL OUT DOOR FRUIT AND VEGETABLE STAND
67713,A close up of several pikes locked on a gate.
117542,"A drawing of a yellow headphone cord and an ear piece,"
145144,A zebra standing out alone in the grassy field
106857,An adult zebra stands with its young in a field.
158203,A woman sitting at an outdoor table working on a laptop
105159,A lone skateboarder is riding down a street.
56750,Boy on skateboard on a down ramp near going into a parking lot. 
83696,A man riding a bike down a road next to palm trees.
129849,"A man playing tennis, ready with racket in hand."
57860,Two dogs are fighting over a frisbee while another watches.
16424,A silver ice dispenser on a tan tiled floor.
152408,a black white and red airplane and some people
41442,A person takes a picture of a presentation on a phone.
34997,A pizza with fresh basil served on a board
58918,A banana is next to a bowl with pastries in it.
100687,A fast train crossing over a small bridge.
7533,A clean bathroom with a toilet and shower.
81807,A skateboarder doing a trick on a rail.
44385,A very pretty fancy clock on the side of a building.
95630,A close up of a giraffes head and face
84159,A cat sitting on the hood of a silver car.
113303,A man cutting something with a pair of scissors.
25702,"A shower, bathroom sink and kitchen sink inside of a residence."
57450,A man and a woman posing for a picture while on  a ski mountain.
58762,Broccoli with an orange sweet glaze on top.
72059,Some people that are walking on a sidewalk while it is raining.
156462,A person that is in the water having some fun.
82996,A half-eaten pita is sitting on a plate among other dishes.
146851,Birds are flying around a photographer with one swooping rather close.
34921,A water bottle sitting near an old computer
158600,Carry-on luggage and an umbrella on the sidewalk
92055,A bunk bed sits next to an open window. 
98087,A bus with people standing in front of it. 
78746,A donut sitting on top of a piece of tissue paper.
75270,A guy with a backpack looking at the ground to his left. 
52036,A downhill skier engaged in an Olympic competition.
142436,Horses racing around a race track lined with yellow flowers.
66893,The group of people are getting ready to eat cake.
42363,"Room with a couch, tv, dining table surrounded by chairs and two doors "
122039,A yellow school bus is traveling down a road near a building.
62639,An empty kitchen that has some items sitting on the counter.
39557,A man flying a kit shaped like a jet.
75364,A man walking besides cows down a road. 
115199,Several people walking along a wooden boardwalk. 
76581,A black dog laying on a cheetah print dog bed.
118334,A construction worker standing on dirt near a fire hydrant. 
115465,A kitchen filled with a large sink with lots of dishes next to it.
49420,A black four wheel drive pick up with a bicycle mounted to the top.
42828,"A clock that reads 5:55, is placed near the building. "
83719,A woman wearing glasses while holding a brown dog.
3792,Four different angles of a persons hand holding a small remote control in various positions.
128040,A woman standing in front of a bathroom mirror next to a sink.
107448,A man in baseball uniform throwing a ball.
125780,a kitchen with a tall cupboard analog clock on the wall and a refrigerator
128998,A man taking a photo with a doughnut.
105369,Riot police on horseback line up across a street
3174,A picture of a person in the beach.
96608,Two buses moving along on a road during a sunny day.
3330,A selfie of a woman laying in bed.
83474,A man standing in a kitchen preparing food.
44426,A guitar is leaning against a chair with a Christmas tree visible in the side of the picture and toys on the ground in the front.
20253,There are a pair of glasses next to the books.
58131,A hiker holds two walking sticks in the snow.
12623,This restroom is in need of repair and cleaning.
35127,Group of people outdoors flying a series of kites in a park. 
51804,A jockey is on top of his horse number 6.
60597,A dog sitting on the floor in a room.
66446,Two airplanes that have white smoke coming out of them.
58796,A young boy standing in the rain holding an umbrella next to a boy wearing a baseball cap. 
109959,A group of ladys around a small table.
122336,A man is playing a fiddle in his kitchen.
133339,A tennis player is going up to hit a shot.
18976,"Blue-hued plates, vases and watering pail displayed in four images."
100319,A car parked outside of a small park.
43984,a black and white photo of a woman holding a baseball bat
107636,"A white plate topped with broccoli, meat and potatoes."
3683,A hot dog bun smothered in chili sitting on a wooden counter.
90792,A clean kitchen with white cabinets and a black oven
99528,A woman riding a bike past a store.
93341,A young woman sitting on the bench of a pier reading the newspaper
63449,Someone is playing a game of tennis with racket in hand.
4215,The two boys are playing nintendo wii on the television.
48580,a few people that has some umbrellas in hand
108920,a couple of guys out side with some poles in their hand.
11339,A woman in a purple jacket holding a bag.
153876,Airport baggage handlers loading luggage into a cart.
137824,A person in wind breaker pants holding a pillow and suit case.
74978,Two men that are riding on the back of elephants.
93687,A lamb has made its way to the food trough alongside a grassy hill.
85105,A small kitchen has two silver sinks and stove.
90082,A person standing with a hat and a kite string.
125910,"Cars, motorized scooters, and other vehicles stopped on a busy road."
29288,A suitcase next to a large bed in a nicely furnished room.
415,A chili cheese dog with french fries on a plate.
46288,Man sitting on last step in front of door while holding his phone.
40100,An adult baseball hitter reacts to a pitched ball.
108383,there is a frisbee team taking a team photo 
64874,A bathroom with a tub and toilet. 
110650,an image of a plates of food at a Mexican restaurant
1061,"A big surf area in the middle of the city called ""surf in the city""."
60294,"a bathroom with a sink, toilet and a window"
140170,these two men in suits are shaking hands
111540,A table topped with strips of tape and a pair or scissors.
87755,A kitchen area with tan counter and two white sinks.
121624,This dog is wearing a Happy Birthday hat.
14967,A man is holdinga baseball bat by a chain fence.
24689,A menage has been constructed out of kitchen gadgets.
77718,A young woman is eating a piece of pizza.
91786,A green train pulling into a train station.
123936,A man with a knife and sharpener instructing a group of women.
130150,"A bowl of beans, two hot dogs and slaw."
42036,A batter lifts his left foot as he swings the bat.
81320,a group of people playing a game of soccer 
57733,A bowl of broccoli that is on a plate.
134974,A group of people in a kayak rowing together
73623,a red and white semi-truck sits in a parking lot
39996,A woman jumping up to let go of a kite.
145076,A person petting a dog in front of a bookshelf.
87551,The huge clock on the wall is near a wooden table.
59920,Two motorcycles that appear to be antiques sitting in grass. 
86752,An empty kitchen includes a table with place settings
104980,"Skiers at the base of a mountain, one is fixing bindings."
84656,"People sit at a library, studying and using computers"
42050,A girl has presents in front of her near another woman and a dog on a living room floor.
31498,A woman standing on a tennis court holding a racquet.
6121,"A modern kitchen incorporates elements of stainless appliances, butcher block counters and an above cabinet nook for interesting collectibles."
65516,a man taking a nap on the bench in the middle of a park
112572,This photo depicts a green vase with white blooms in it.
81055,The skateboard rider is doing a trick upside down.
17922,A large roman numeral clock in a stone building.
119484,A traffic light and road signs are posted near buildings.
96518,A bus driver maneuvers his bus down a narrow roadway
103982,A group of people riding brown horses on top of a grass covered field.
89547,A modern bathroom with a round shower unit in the corner.
41311,A really big building that has a clock on it.
145919,A white plate full of food with meat and veggies. 
99607,a statue of a person drinking toilet water 
61717,A bath and a bed in a small room.
92877,A abandoned yellow and blue train on tracks.
126437,A computer with a keyboard is on a desk.
40556,Two men sitting at a table with laptops.
87324,A man standing on the end of a pier next to a boat.
1984,A boy is riding a boogie board through a wave.
49525,a big truck that is parked next to a small car
79578,Athlete deciding on ball to use for service during match play.
3479,A man riding the waves in the water
64936,Man sitting on motorcycle next to pickup truck in covered area.
149721,THERE ARE A LOT OF BIRDS THAT ARE STANDING ON THE HILL
62584,A chef in a restaurant kitchen cutting vegetables. 
71452,an elephant with a person sitting on its head
105437,Several horses stand on an asphalt road and two of the horses are white and brown.
2898,A chicken and tomato sandwich with chips and water on the side.
38706,A man swinging a racquet on a tennis court.
20847,flooding scene in South Asia with people standing in flood water
62343,A black and white photo of a man on a motorcycle
38754,a baseball player stands at home plate as the catcher sets up
94062,A traffic light at a intersection with vehicles.
99292,A tiny bathroom has a brightly colored shower curtain.
60260,"A plate of food with shrimp, pasta, and salad."
139619,A piece of luggage is sitting on the concrete
76444,A man wearing a stripe shirt and a neck tie.
89499,A motorcyclist in a helmet is posing next to the parked motorcycle.
28931,A man in striped shirt sitting on a couch.
69827,An unfinished bathroom with a toilet and a sink.
8333,A bicycle rests on the ground next to a bench.
31130,Somebody is sleeping in the bed next to the clock on the table.
76245,A cat with glowing eyes cuddled with another cat and some plushies.
94670,"A red, white, blue, and silver train at a station."
3719,Two bicyclists stand hear an awning and tables covered with food.
15805,a woman sitting at her computer desk working with her computer.
32630,a girl smiling sitting at a table in front of several display items.
150924,An older style light pole with a no parking sign attached to it.
21013,people hanging out in front of a cathedral
67512,A cat sitting next to a bicycle wheel looking through the spokes. 
75054,A person in red and black reaching for a person in white and black who has a Frisbee.
88398,A large kitchen with sinks microwave and cabinets
103975,A uniformed baseball player swinging a bat at home plate.  
113960,A man on a bike waiting at a crosswalk.
149718,The welcome sign in the city of Reno on the street.
146079,A picture of a farmer and a horse plowing the field.
131974,A man is talking on his cell phone while riding a bike.
101086,A passenger train sits on the tracks in front of a building.
119448,A green gate that has a sign in front of it.
107369,Two men sharing a pizza pie while at a restaurant.
3716,A beautiful young woman riding a surfboard in the ocean.
143059,A group of baseball players standing on top of a field.
135157,The front of a boat with a view of the ocean and land. 
57544,Three people holding frisbees in a wooded area.
109441,Two people look up at a giant clock.
156894,A shopkeeper preparing various colored umbrellas in front of her shop.
103988,A boy wearing a monkey backpack holding a frisbee.
56721,"A plate with a steak, steamed broccoli and noodles."
45225,The two markers are sitting on the holder on the table.
83583,"A bathroom with a pedestal sink, toilet and claw foot tub."
132481,"Paper plate with a slice of quesadilla on it
"
104997,Man in grey shirt throwing a red frisbee at the park.
33012,a meal is set comprised of salad and a burger
85991,The public rest room is clean and ready for the customers to use. 
63871, A young man sleeping on his side with some time of tv device over his face.
154897,The cows gather on the grass covered hill.
96680,A wooden bench by some trees in the grass.
123173,"A pair of Navy officers cutting a cake together at a banquet, surrounded by officers and civilians."
78246,A cute pizza and cutter on a surface.
11346,Gorgeously appointed and enormous bathroom decorated with natural components
65874,A car driving down a small street surrounded by buildings.
26094,a toilet some towels toilet paper and a counter
153122,two cows standing behind a fence with one looking at the camera
68989,A white toilet in a very small room.
46692,A young person is wearing a yellow tie that he made from construction paper and colored it with crayons.
149907,A small train sits empty at the start of the ride.
2031,"A table is set with three mugs of beer, a slice of pie, a donut with a segment cut out, and few other objects."
17250,a very large building with a clock tower near
128736,A surfer by a pier riding a wave.
26916,"A small kitchen with cabinet, sink, and microwave."
22142,A sink and a white toilet in a room.
388,A bundt cake on a plate by a bowl of fruit.
114993,a white toilet with a black seat in a stall
101631,A lighthouse with birds flying by it at a bay.
5680,There is a living room with chairs in it
12044,Four guys in a kitchen cooking and cleaning.
74433,A woman is standing near the open hood of a truck.
20800,A cat sitting on top of a white toilet seat.
39199,A man holding a paddle hitting a ping pong ball.
45885,A laptop on a table with notes and books all over the place.
18401,two brown teddy bears with red name tags on them
150949,A red fire hydrant in the middle of the grass. 
70983,A man wearing three hats is wearing a sign in protest of his job.
92619,A street pole at the corner of Stillwell and Mermaid Avenue with a crossing light on the sign.
121492,A couple of giraffe eating hay from a trough in a field.
33103,Take-out food in a basket on a wooden table.
122525,"A  tiled bathroom with a sink, shower, and tub."
44378,"A large breakfast omelet, english muffin and fruit"
32005,Two women sitting in a booth at a restaurant sharing a stuffed pizza.
143678,there is a woman smiling and holding bananas
53806,A hand holds a small bowl of rice and vegetables.
40681,A tray topped with a lot of breakfast foods.
29261,"A wood table full of plates, cakes, and deserts."
120,"Chopped up vegetables in bowls featuring lettuce, red onion and carrots."
150625,A stop sign that has been vandalized with graffiti.
62332,The dishes have been washed and the dish towels are hanging neatly on the cupboards.
36428,a boy tosses a ball for another to hit with a bat
22150,a small bathroom with wood floors and a toilet
98698,"An all white bathroom with a shower, toilet and sink."
14059,A man in a shirt and tie holding a cell phone.
44531,A cell phone sits on a table next to some jewels.
63789,A red light on the side of an old building near an alley way.
1094,a large dog laying in a dog bed in a living room
58731,A man who is making a jump on snow skis.
21942,An interior shot of a small tiled bathroom.
108188,A shirtless skateboarder enjoying his sport with no protective gear on.
139791,A young farmer using a Sunshine Milker machine to milk a cow.
49492,A women who is petting the trunk of an elephant.
130551,A bed with books and papers and a blanket.
68197,A person holding a computer mouse next to a keyboard.
110028,A large jar filled with white flowers behind chairs.
58236,Several gentlemen having a conversation in a park.
16396,A man sits in a chair and pets a furry dog. 
116577,a blue and white bus is covered in newspaper
54818,A crowd of people wearing skis on a snowy mountain.
42241,a woman in white shirt sitting by presents and a Christmas tree.
37555,some people at some tables some chairs and a monitor
50857,A little boy in a baseball uniform wearing a mitt.
116727,A silver train traveling past a train stations.
17100,Modern looking living room with white flooring and furnishings
120980,A double deckers buss full of people taking part in a parade.
81784,Man in trench coat enjoying food item on skewer in office setting.
51180,"Two apples, an orange, and a banana form a smiling face"
151757,A young girl is sitting on a couch while playing with a toy.
69059,a black and white cat a fence and some silver bowls
35093,Man singing into an electric hair dryer in the bathroom
34590,an image of two couples of playing a video game
75385,Orange cat lying on a stuffed animal looking at camera.
57900,A woman catching a frisbee on an indoor field.
32980,A person in grey and tan jacket riding a snowboard on slope.
57743,A man sitting on his couch using his laptop
40598,an odd looking blender with three serving glasses 
20,A zebra grazing the grass on a sunny day outside. 
144867,The man is jumping over the skate board
141592,A man sitting a carriage while a horse pulls him and a boy riding on a horse behind him. 
36157,A variety of kites flown in a computerized image. 
103169,An airplane that just took off in the air.
48434,White house boat docked at pier with man in blue approaching
158013,The backside of a dog sitting on a chair.
142270,A bowl containing fruit is on a counter. 
61891,A brown and black dog sniffing the straps of stiletto heels.
30188,A metal table holding two donuts covered in sprinkles.
36276,A group of identical teddy bears on shelves.
155177,two elephants walking in captivity with a building in the backgroun
113366,Fish and chips were served with a side of greens
19349,TWO FRIENDS EXCHANGING LOOKS WHILE HAVING A MEAL
42147,A baseball player steps to the plate while the catcher prepares for the throw.
89006,A bathroom with a toilet and a red sink.
129508,A pizza that is sitting on a paper plate.
124573,a woman walking her bike on the side of the street
82231,This person has five remote controls for five different things
133786,Two laptop computers sit on an orange table with their lids open.
94497,the clouds rolling in over a few houses
46808,A close up of a mans neck wearing a blue dress shirt and tie.
92691,Four giraffe are walking through a field of high shrubs.
18363,Four people gathered in the kitchen looking at a refrigerator.
18207,A woman uses her cell phone on a passenger train.
17338,A pizza sitting on top of a pan covered in toppings.
146086,A person on skis performing a flip off a snowy track.
13007,A young woman chef in a kitchen preparing food.
118961,a blue train is coming down some tracks
136110,a red stop sign that is under some trees
18465,"A view of a clock tower, from across the way."
36555,A family stands and smiles happily next to their daughter.
148665,old and faded fire hydrant surrounded by some green grass
118949,"A green, blue, and red fire extinguisher beside a road."
91510,A small seabird hunts at the edge of the water.
109644,A table with six various colored flower vases. 
152596,a green bus driving down the road with passengers
103873,A man walking around a snowy site with various skiing equipment
56341,A dog standing wearing socks with sandals on its back feet.
45284,The little girl drying her hair with a hair dryer.
115146,a white kitchen with a silver refrigerator and sink
76878,A double bed in a hotel or motel setting.
143774,"A plate of beans, broccoli, and meat is on a placemat. "
42983,A stainless steel fridge with video game stickers on it.
103857,skateboarder in mid air doing a high trick.
145482,A piece of broccoli on a piece of cheese.
131763,A dinner bowl filled with vegetables next to a glass of wine.
7344,A woman standing in a mirror in a bathroom
117536,A statue is displayed next to some odd street signs.
119297,Large buses that are parked on the road nearby a motorcycle and bicycle.
13701,A spiral glass water feature showpieces a commercial bathroom.
73318,Group of brown cows with ear tags in grassy field.
7950,A reclining lounge chair mounted on a bicycle.
23962,A glass of wine sitting on the edge of a table 
132768,a person sitting and recording another man using a wiimote
116166,Close up photo of a magnification make-up mirror in a dark room.
99062,Bike shop inside with many prospective buyers also
